,Age,Industry,Job title,Annual Salary(USDA),Working In,City,Years of Experience,Present Field Experience,Education,Gender,Race
14808,18-24,Science research,Research assistant,44000,United states,NYC,2 - 4 years,2 - 4 years,College degree,Woman,White
14809,35-44,Business or Consulting,Project manager,77000,United states,Wyomissing,11 - 20 years,11 - 20 years,College degree,Woman,White
14810,25-34,Hospitality & Events,Marketing Manager,40765,United kingdom,London,8 - 10 years,8 - 10 years,College degree,Woman,"Hispanic, Latino, or Spanish origin"
14811,35-44,Health care,Trainer/Quality Assurance,48000,United states,Pittsburgh,11 - 20 years,11 - 20 years,College degree,Woman,White
14812,25-34,Computing or Tech,Content manager,64000,Philippines,Company is based in SF,5-7 years,2 - 4 years,Some college,Woman,Asian or Asian American
14813,25-34,Law,Senior Associate,103000,United states,Chicago,8 - 10 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman,White
14814,25-34,"Marketing, Advertising & PR",Digital Content Coordinator ,58240,United states,Milwaukee,8 - 10 years,2 - 4 years,College degree,Woman,White
14815,35-44,Engineering or Manufacturing,Product Dev,75000,United states,Columbia,8 - 10 years,8 - 10 years,College degree,Other or prefer not to answer,Another option not listed here or prefer not to answer
14816,65 or over,Media & Digital,senior editor,119000,United states,Oakland,31 - 40 years,31 - 40 years,Master's degree,Man,White
14817,25-34,Health care,Senior Analyst ,74000,United states,Chapel Hill,5-7 years,2 - 4 years,Master's degree,Woman,White
14818,35-44,Fitness,Fitness Specialist,40000,United states,Bremerton,21 - 30 years,5-7 years,College degree,Woman,White
14819,25-34,Engineering or Manufacturing,Civil Engineer (EIT),58760,United states,Pittsburgh,2 - 4 years,2 - 4 years,College degree,Woman,White
14820,25-34,Health care,SLP,77000,United states,Seattle,2 - 4 years,1 year or less,Master's degree,Woman,White
14821,35-44,Computing or Tech,Information Architect,130000,United states,Dallas,11 - 20 years,11 - 20 years,Master's degree,Woman,"Hispanic, Latino, or Spanish origin"
14822,35-44,Hospitality & Events,Music Promoter,98625,United kingdom,London,8 - 10 years,5-7 years,Some college,Woman,White
14823,35-44,Government and Public Administration,Senior Records Analyst,89344,United states,Seattle,11 - 20 years,11 - 20 years,Master's degree,Woman,White
14824,25-34,"Accounting, Banking & Finance",Senior Manager,110000,United states,Atlanta,8 - 10 years,8 - 10 years,College degree,Woman,White
14825,25-34,Art & Design,UX UI Designer,97000,United states,Boston,11 - 20 years,8 - 10 years,College degree,Woman,Asian or Asian American
14826,25-34,Engineering or Manufacturing,civil engineer,102000,United states,walla walla,8 - 10 years,8 - 10 years,Master's degree,Man,White
14827,25-34,Health care,Research associate,72000,United states,Rockville,2 - 4 years,2 - 4 years,College degree,Woman,"Hispanic, Latino, or Spanish origin"
14828,18-24,"Accounting, Banking & Finance",Business Analyst,91000,United states,Mclean,2 - 4 years,1 year or less,Master's degree,Woman,White
14829,35-44,Property or Construction,Consultant,59600,United kingdom,Vancouver,11 - 20 years,5-7 years,Master's degree,Man,White
14830,25-34,Health care,Information Reporting Analyst,53640,United kingdom,Ottawa,2 - 4 years,2 - 4 years,Master's degree,Woman,Black or African American
14831,25-34,Computing or Tech,Computer Technician I,38000,United states,Las Vegas,8 - 10 years,2 - 4 years,College degree,Woman,White
14832,25-34,Nonprofits,"Director Communications, Marketing, and PR",138000,United states,Washington,8 - 10 years,5-7 years,Master's degree,Woman,Asian or Asian American
14833,25-34,Law,Associate Attorney,131690,United states,Chicago,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,White
14834,35-44,Government and Public Administration,Senior information officer,72930,Netherlands,Amsterdam,11 - 20 years,11 - 20 years,College degree,Woman,White
14835,25-34,Engineering or Manufacturing,Software Designer,135000,United states,Arlington,8 - 10 years,8 - 10 years,Master's degree,Man,Black or African American
14836,35-44,Computing or Tech,Support Manager,80000,United states,Rochester,11 - 20 years,11 - 20 years,College degree,Man,"Hispanic, Latino, or Spanish origin, White"
14837,35-44,Education (Higher Education),Multimedia Specialist,50500,United states,Lexington,8 - 10 years,5-7 years,Master's degree,Other or prefer not to answer,White
14838,25-34,Government and Public Administration,Environmental Health Specialist IV,79719,United states,Carson City,8 - 10 years,5-7 years,College degree,Woman,White
14839,45-54,Entertainment,Sound Design,39270,Germany,Hanover,21 - 30 years,21 - 30 years,College degree,Man,White
14840,25-34,Nonprofits,Marketing Director,58500,United states,Houston,8 - 10 years,5-7 years,Master's degree,Woman,White
14841,35-44,Computing or Tech,Engineering Manager,114405,United kingdom,London,21 - 30 years,21 - 30 years,Some college,Woman,White
14843,25-34,Government and Public Administration,Staff Attorney,81000,United states,Hartford,5-7 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,White
14844,25-34,Government and Public Administration,Retirement Specialist,32000,United states,Lincoln,2 - 4 years,2 - 4 years,College degree,Non-binary,White
14845,35-44,Nonprofits,Marketing Manager,57000,United states,Milwaukee,11 - 20 years,11 - 20 years,College degree,Woman,White
14846,18-24,Insurance,Risk analyst ,59600,United kingdom,Toronto ,1 year or less,1 year or less,College degree,Woman,Asian or Asian American
14847,35-44,"Accounting, Banking & Finance",Senior Underwriter,110000,United states,DMV Metro Area,21 - 30 years,21 - 30 years,College degree,Non-binary,White
14848,25-34,Government and Public Administration,Program Manager,47000,United states,Baltimore,2 - 4 years,2 - 4 years,College degree,Woman,Black or African American
14849,25-34,Business or Consulting,Consultant,67050,United kingdom,Toronto,2 - 4 years,2 - 4 years,College degree,Woman,Asian or Asian American
14850,25-34,Computing or Tech,Software engineer ,90000,United states,Waltham,5-7 years,5-7 years,Master's degree,Woman,Asian or Asian American
14851,18-24,Government and Public Administration,Molecular Lab Technician ,46500,United states,Denver,2 - 4 years,1 year or less,College degree,Woman,White
14852,25-34,"Marketing, Advertising & PR",Associate Manager ,115000,United states,Minneapolis,8 - 10 years,8 - 10 years,College degree,Woman,White
14853,25-34,Computing or Tech,Product Security Engineer,173000,United states,Seattle,11 - 20 years,2 - 4 years,College degree,Woman,White
14854,25-34,Education (Higher Education),Executive Assistant,53000,United states,Portland,2 - 4 years,2 - 4 years,College degree,Woman,"Black or African American, White"
14855,25-34,Energy/oil,Data Analyst,62000,United states,Irving,8 - 10 years,2 - 4 years,Some college,Woman,White
14856,25-34,Art & Design,manager,62500,United states,Norwalk,5-7 years,2 - 4 years,College degree,Woman,White
14857,25-34,Computing or Tech,Account Executive,75000,United states,Remotely from MD,5-7 years,2 - 4 years,College degree,Woman,"Hispanic, Latino, or Spanish origin"
14858,25-34,Nonprofits,Administrative Assistant,49920,United states,"Los Angeles, CA",2 - 4 years,2 - 4 years,College degree,Woman,White
14859,45-54,Retail,owner,35000,United states,can't say,21 - 30 years,21 - 30 years,Some college,Man,White
14860,25-34,"Accounting, Banking & Finance",Market Accounts Specialist ,32073,United states,Spokane,11 - 20 years,5-7 years,High School,Woman,White
14861,25-34,Transport or Logistics,Environmental Analyst,55000,United states,Atlanta,2 - 4 years,2 - 4 years,College degree,Woman,White
14862,25-34,Computing or Tech,Product manager,109145,United kingdom,London,8 - 10 years,5-7 years,Master's degree,Woman,White
14863,25-34,Pharmaceutical,EHS Specialist,100000,United states,Cambridge,11 - 20 years,11 - 20 years,Master's degree,Woman,White
14864,25-34,Government and Public Administration,Senior Product Manager,63376,United kingdom,Bristol,8 - 10 years,2 - 4 years,High School,Woman,White
14865,25-34,Computing or Tech,Product Manager,52600,United kingdom,"Work from home, London",11 - 20 years,2 - 4 years,College degree,Woman,White
14866,35-44,Computing or Tech,Hardware Engineering program manager,185000,United states,San Francisco Bay area,11 - 20 years,11 - 20 years,Master's degree,Man,Asian or Asian American
14867,25-34,"Accounting, Banking & Finance",Administrator,13807,United kingdom,Carlisle,2 - 4 years,2 - 4 years,College degree,Woman,White
14868,25-34,Computing or Tech,Customer Service Representative,42000,United states,Raleigh,2 - 4 years,2 - 4 years,College degree,Woman,White
14869,25-34,Engineering or Manufacturing,ENGINEER 6,96262,United states,Baton Rouge,5-7 years,5-7 years,College degree,Woman,White
14870,35-44,Computing or Tech,Senior Technical Writer,91000,United states,Seattle,21 - 30 years,8 - 10 years,College degree,Woman,White
14871,25-34,Entertainment,Senior Software Engineer,367500,United states,Los Angeles,8 - 10 years,8 - 10 years,College degree,Woman,Black or African American
14872,25-34,Education (Higher Education),Admin Assistant II,55224,United states,"Cambridge, MA",5-7 years,2 - 4 years,Master's degree,Woman,White
14873,25-34,Utilities & Telecommunications,Procurement Manager,100000,United states,Denver,8 - 10 years,2 - 4 years,Master's degree,Man,White
14874,35-44,"Leisure, Sport & Tourism",Head of PR & Communications,58517,United kingdom,Swansea ,21 - 30 years,8 - 10 years,Some college,Man,White
14875,35-44,Education (Higher Education),Lecturer,40975,United kingdom,Vancouver,8 - 10 years,8 - 10 years,PhD,Woman,White
14876,35-44,Computing or Tech,Market Research Manager,104000,United states,Greater Chicagoland,11 - 20 years,8 - 10 years,Master's degree,Woman,White
14877,18-24,Computing or Tech,Insights Analyst,73000,United states,Denver,2 - 4 years,1 year or less,College degree,Woman,White
14878,65 or over,"Accounting, Banking & Finance",Financial Representative ,120000,United states,Tucson,31 - 40 years,5-7 years,College degree,Woman,White
14879,25-34,"Marketing, Advertising & PR",Associate Strategy Director ,105000,United states,New York City,8 - 10 years,8 - 10 years,College degree,Woman,White
14880,25-34,Hospitality & Events,Venue manager,46025,United kingdom,London,8 - 10 years,5-7 years,College degree,Woman,White
14881,25-34,Retail,Hr manager,79000,United states,Schenectady,5-7 years,5-7 years,Master's degree,Woman,White
14882,25-34,Computing or Tech,Software Engineer,110000,United states,Seattle,2 - 4 years,2 - 4 years,College degree,Woman,White
14883,25-34,Education (Higher Education),Tuition Coordinator,45000,United states,Columbus,8 - 10 years,2 - 4 years,College degree,Woman,White
14884,25-34,Media & Digital,Junior License Manager,42636,Germany,NRW,2 - 4 years,2 - 4 years,Master's degree,Woman,White
14885,25-34,Media & Digital,"Sr Associate, Project Manager",70000,United states,Boston,2 - 4 years,2 - 4 years,College degree,Woman,"Hispanic, Latino, or Spanish origin, White"
14886,35-44,Computing or Tech,Software Engineer,98600,United states,San Diego,8 - 10 years,2 - 4 years,College degree,Woman,Asian or Asian American
14887,25-34,Computing or Tech,Email Marketing Specialist,80500,United states,Seattle,8 - 10 years,8 - 10 years,College degree,Woman,White
14888,35-44,Computing or Tech,Senior product designer ,105200,United kingdom,London,11 - 20 years,11 - 20 years,College degree,Woman,Asian or Asian American
14889,25-34,Education (Higher Education),Degree Programme Manager,81530,United kingdom,London,8 - 10 years,5-7 years,Master's degree,Woman,White
14890,25-34,"Marketing, Advertising & PR",Senior Digital Marketing Executive ,42080,United kingdom,Manchester,5-7 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,White
14891,18-24,Engineering or Manufacturing,Chemical Engineer,60000,United states,Small town Ohio,1 year or less,1 year or less,College degree,Woman,White
14892,35-44,Law,Legal Assistant ,61000,United states,Milwaukee,21 - 30 years,11 - 20 years,Some college,Woman,White
14893,35-44,Insurance,Recovery specialist ,47500,United states,Chicago -remote position though ,11 - 20 years,11 - 20 years,College degree,Woman,White
14894,25-34,Government and Public Administration,Digital Preservation Specialist,90106,United states,College Park,8 - 10 years,5-7 years,Master's degree,Woman,White
14895,25-34,"Accounting, Banking & Finance",Government Relations Manager,75000,United states,Washington,2 - 4 years,2 - 4 years,College degree,Woman,"Hispanic, Latino, or Spanish origin, Native American or Alaska Native"
14896,25-34,Health care,Data Analyst ,90000,United states,Phoenix Area,5-7 years,5-7 years,Master's degree,Woman,Black or African American
14897,18-24,Education (Higher Education),Admissions Coordinator ,45000,United states,Charlottesville ,2 - 4 years,2 - 4 years,Master's degree,Woman,White
14898,25-34,Video Games,Business Strategy Manager,130000,United states,Bay Area,5-7 years,5-7 years,College degree,Woman,Asian or Asian American
14899,25-34,Computing or Tech,Account Executive ,52734,Ireland,Dublin ,5-7 years,2 - 4 years,Some college,Woman,White
14900,45-54,Government and Public Administration,Policy Advisor ,85228,United kingdom,Ottawa,21 - 30 years,21 - 30 years,Master's degree,Woman,White
14901,18-24,Computing or Tech,Consultant,69300,United kingdom,London,2 - 4 years,2 - 4 years,College degree,Man,White
14902,45-54,Government and Public Administration,Archivist,60000,United states,Austin,21 - 30 years,5-7 years,Master's degree,Woman,White
14903,35-44,Health care,Procurement,78900,United kingdom,UK,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,White
14904,25-34,Government and Public Administration,Human Resources Analyst ,76000,United states,Reno,5-7 years,2 - 4 years,Master's degree,Woman,White
14905,25-34,Retail,Associate,29120,United states,Hillsboro,5-7 years,2 - 4 years,College degree,Woman,White
14906,45-54,Government and Public Administration,Project Manager,102000,United states,Baltimore,21 - 30 years,5-7 years,Master's degree,Woman,"Black or African American, White"
14907,45-54,Health care,Revenue Cycle Analyst,52320,United states,GRAND RAPIDS ,21 - 30 years,5-7 years,College degree,Woman,White
14908,35-44,Education (Primary/Secondary),Executive DIrector,92000,United states,Cleveland,11 - 20 years,5-7 years,Master's degree,Man,Prefer Not to Say
14909,45-54,Government and Public Administration,Regional Business Manager,54385,United kingdom,Halifax,21 - 30 years,2 - 4 years,Some college,Woman,White
14910,25-34,"Marketing, Advertising & PR",Product Marketing Manager,110000,United states,Cambridge,5-7 years,2 - 4 years,Master's degree,Woman,White
14911,18-24,"Accounting, Banking & Finance",Business Analyst,70000,United states,Des Moines,1 year or less,1 year or less,College degree,Woman,White
14912,25-34,Library at a University ,User Experience and Virtual Reference Coordinator ,49000,United states,Saint Paul,11 - 20 years,11 - 20 years,Master's degree,Woman,White
14913,18-24,Computing or Tech,Product Marketer,0,United states,Santa Clara,1 year or less,1 year or less,College degree,Man,Asian or Asian American
14914,25-34,Sales,Manager,130000,United states,Milwaukee,11 - 20 years,11 - 20 years,College degree,Man,White
14915,25-34,Health care,Senior Manager,130000,United states,St. Louis,5-7 years,5-7 years,Master's degree,Woman,White
14916,25-34,Media & Digital,Assistant,45000,United states,New York City,5-7 years,5-7 years,College degree,Woman,White
14917,35-44,Engineering or Manufacturing,Design Engineer ,93000,United states,Seattle ,11 - 20 years,11 - 20 years,Master's degree,Man,White
14918,45-54,Computing or Tech,Implementation Consultant,106000,United states,Chicago,21 - 30 years,2 - 4 years,Master's degree,Woman,White
14919,35-44,"Accounting, Banking & Finance",Senior Accountant,90000,United states,Dallas,11 - 20 years,11 - 20 years,College degree,Woman,Asian or Asian American
14920,25-34,Diagnostic Medical Devices,Test Engineer,68000,United states,Tarrytown,2 - 4 years,1 year or less,Master's degree,Man,Another option not listed here or prefer not to answer
14921,35-44,Education (Higher Education),Associate Professor,58000,United states,New Orleans,11 - 20 years,11 - 20 years,Master's degree,Man,White
14922,35-44,Nonprofits,senior manager,98000,United states,Chapel Hill,11 - 20 years,11 - 20 years,Master's degree,Woman,White
14923,25-34,"Accounting, Banking & Finance",Engineering Manager,165690,United kingdom,London,8 - 10 years,8 - 10 years,College degree,Woman,Asian or Asian American
14924,25-34,Nonprofits,Development Coordinator,38740,United kingdom,Toronto,2 - 4 years,2 - 4 years,Master's degree,Woman,Black or African American
14925,25-34,Education (Higher Education),Benefits Advisor,43210,United kingdom,Halifax,8 - 10 years,5-7 years,College degree,Woman,White
14926,35-44,Government and Public Administration,Administrative Officer ,55214,United states,Tishomingo ,11 - 20 years,2 - 4 years,College degree,Woman,White
14927,35-44,Biotechnology ,Vice President of Corporate Communications and Investor Relations,300000,United states,Cambridge ,11 - 20 years,8 - 10 years,College degree,Woman,Another option not listed here or prefer not to answer
14928,25-34,"Marketing, Advertising & PR",Senior SEM Analyst,115000,United states,Boston area,8 - 10 years,5-7 years,College degree,Woman,Asian or Asian American
14929,35-44,Media & Digital,VP of Content & Marketing,80000,United states,Nashville,11 - 20 years,11 - 20 years,College degree,Woman,White
14930,25-34,Health care,Clerical,35000,United states,Farmington Hills,5-7 years,2 - 4 years,College degree,Woman,White
14931,35-44,Energy Sector: Oil & Gas,IT Admin,47000,United states,Fort Collins,11 - 20 years,1 year or less,High School,Man,White
14932,25-34,Health care,Senior Analyst,90000,United states,Glendale,5-7 years,5-7 years,College degree,Woman,Asian or Asian American
14933,25-34,Health care,Optometrist,135000,United states,Chesapeake,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,Asian or Asian American
14934,18-24,"Accounting, Banking & Finance",Associate ,95000,United states,Los Angeles ,2 - 4 years,2 - 4 years,College degree,Woman,White
14935,18-24,Business or Consulting,Research Analyst,55000,United states,Washington DC,2 - 4 years,2 - 4 years,College degree,Woman,"Asian or Asian American, White"
14936,25-34,Retail,Supply Chain Analyst,65000,United states,Philadelphia,2 - 4 years,2 - 4 years,College degree,Woman,White
14937,25-34,Media & Digital,Senior Marketing Manager,68380,United kingdom,London,5-7 years,2 - 4 years,College degree,Woman,White
14938,45-54,Government and Public Administration,Senior Risk Analyst ,132000,United states,"Washington, D.C. ",11 - 20 years,8 - 10 years,Master's degree,Woman,Black or African American
14939,35-44,Engineering or Manufacturing,Penetration Tester,102570,United kingdom,Wiltshire ,11 - 20 years,11 - 20 years,College degree,Man,White
14940,35-44,Law,Counsel,300000,United states,San Antonio,21 - 30 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,White
14941,45-54,Retail,Global Category Manager,136000,United states,Chicago,21 - 30 years,21 - 30 years,Master's degree,Woman,White
14942,35-44,Recruitment or HR,Operations manager,58000,United states,Charlotte,11 - 20 years,11 - 20 years,College degree,Woman,White
14943,25-34,Law,Associate Attorney,80000,United states,Seattle,2 - 4 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,Asian or Asian American
14944,45-54,Nonprofits,Executive Director ,68000,United states,Lititz,21 - 30 years,21 - 30 years,Master's degree,Man,White
14945,45-54,Computing or Tech,Sr. Solution Advisor,85000,United states,Kansas City,21 - 30 years,5-7 years,Some college,Woman,White
14946,25-34,Computing or Tech,Chief of Staff,188000,United states,NYC,5-7 years,5-7 years,College degree,Man,White
14947,25-34,Government and Public Administration,Librarian,60000,United states,Somerset County,5-7 years,5-7 years,Master's degree,Woman,White
14948,45-54,Health care,Information Analyst,96000,United states,Phoenix,21 - 30 years,21 - 30 years,Master's degree,Woman,Another option not listed here or prefer not to answer
14949,25-34,Computing or Tech,UX Designer ,140000,United states,Seattle,2 - 4 years,2 - 4 years,Master's degree,Woman,Another option not listed here or prefer not to answer
14950,25-34,"Accounting, Banking & Finance",Manager,89900,United states,burbank,5-7 years,5-7 years,College degree,Woman,"Black or African American, White"
14951,35-44,Computing or Tech,"Senior advisor, communications",105723,United states,Boston,11 - 20 years,8 - 10 years,Master's degree,Woman,White
14952,35-44,Engineering or Manufacturing,Senior Design Engineer - Control Systems,133400,United states,Aliso Viejo,11 - 20 years,11 - 20 years,College degree,Man,White
14953,35-44,Business or Consulting,Business Development Manager,96850,United kingdom,Toronto,8 - 10 years,8 - 10 years,College degree,Woman,Asian or Asian American
14954,45-54,Government and Public Administration,Revenue Agent,107146,United states,Washington,11 - 20 years,11 - 20 years,College degree,Woman,White
14955,25-34,Engineering or Manufacturing,Environmental Specialist ,125000,United states,San Francisco Bay Area,5-7 years,5-7 years,Master's degree,Woman,White
14956,25-34,Media & Digital,Controller,62607,Germany,Munich,2 - 4 years,2 - 4 years,Master's degree,Woman,White
14957,25-34,Religious (synagogue),Office Manager,62400,United states,Palo Alto,5-7 years,5-7 years,College degree,Woman,White
14958,35-44,Manufacturing,Purchasing,48000,United states,Longmont,11 - 20 years,8 - 10 years,College degree,Woman,"Hispanic, Latino, or Spanish origin"
14959,25-34,"Marketing, Advertising & PR",Account Manager,66000,United states,Phoenix,5-7 years,5-7 years,College degree,Woman,White
14960,25-34,Recruitment or HR,Talent Acquisition Specialist ,58000,United states,Houston,2 - 4 years,2 - 4 years,College degree,Woman,White
14961,25-34,Recruitment or HR,Sr Program Manager,117120,United states,Seattle,5-7 years,2 - 4 years,College degree,Woman,Asian or Asian American
14962,25-34,Government and Public Administration,Operations ,107000,United states,"arlington, va",2 - 4 years,11 - 20 years,Master's degree,Woman,Black or African American
14963,55-64,Health care,Executive Assistant/Admin Asst 3,63000,United states,Sacramento,21 - 30 years,21 - 30 years,College degree,Woman,White
14964,25-34,Law,Assistant General Counsel,182450,United states,Tampa,8 - 10 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman,White
14965,25-34,Computing or Tech,Customer Success Manager,55000,United states,Remote,5-7 years,2 - 4 years,Master's degree,Woman,White
14966,35-44,Engineering or Manufacturing,TAC ENT RT SWITCHING CISCO,95000,United states,RTP ,11 - 20 years,11 - 20 years,College degree,Man,White
14967,25-34,Education (Higher Education),HRIS Analyst,85000,United states,Boston,5-7 years,2 - 4 years,College degree,Woman,White
14968,25-34,Nonprofits,Project Manager,58320,United states,Remote,5-7 years,5-7 years,Master's degree,Woman,"Asian or Asian American, White"
14969,25-34,Retail,Administration Manager,45367,United kingdom,Exeter ,8 - 10 years,2 - 4 years,College degree,Woman,White
14970,35-44,Nonprofits,"Project Manager, Workplace Experience",57500,United states,Seattle,11 - 20 years,5-7 years,Some college,Woman,White
14971,25-34,Computing or Tech,Technical Account Manager,113000,United states,Los Angeles,5-7 years,5-7 years,Master's degree,Woman,White
14972,18-24,"Accounting, Banking & Finance",Advisory analyst,58000,United states,Cincinnati,2 - 4 years,1 year or less,College degree,Woman,White
14973,25-34,Education (Higher Education),Web Content Manager,84000,United states,Boston,8 - 10 years,5-7 years,Master's degree,Woman,"Hispanic, Latino, or Spanish origin"
14974,25-34,Biotech,Scientist,120000,United states,Bay Area,5-7 years,5-7 years,Master's degree,Woman,Asian or Asian American
14975,45-54,"Accounting, Banking & Finance",Human Resources Manager,77000,United states,Chattanooga,21 - 30 years,11 - 20 years,Some college,Woman,"Hispanic, Latino, or Spanish origin"
14976,35-44,Computing or Tech,IT Support Engineer,65166,United states,Madison,21 - 30 years,11 - 20 years,College degree,Woman,White
14977,35-44,Insurance,Insurance Specialist,50211,United states,Tucson ,5-7 years,5-7 years,College degree,Woman,"Hispanic, Latino, or Spanish origin, White"
14978,25-34,Library,Libraran ,48900,United states,Chicago,2 - 4 years,2 - 4 years,Master's degree,Woman,White
14979,25-34,Education (Higher Education),Digital Services Manager,85000,United states,Palo Alto,8 - 10 years,8 - 10 years,Master's degree,Woman,White
14980,25-34,Media & Digital,Marketing manager ,70000,United states,Redmond ,8 - 10 years,8 - 10 years,College degree,Woman,White
14981,25-34,Computing or Tech,Technical Writer,85000,United states,New York,2 - 4 years,2 - 4 years,College degree,Woman,White
14982,25-34,Education (Higher Education),Library metadata specialist,31560,United kingdom,Leeds,5-7 years,2 - 4 years,College degree,Woman,White
14983,45-54,Education (Higher Education),1st Line ICT Support Analyst,59175,United kingdom,London,21 - 30 years,11 - 20 years,College degree,Man,White
14984,25-34,Computing or Tech,Data Analytics Manager,105000,United states,Seattle,5-7 years,5-7 years,College degree,Man,White
14985,35-44,Computing or Tech,Program Manager,90600,United states,Metrowest area,11 - 20 years,5-7 years,Master's degree,Woman,White
14986,25-34,Law,Legal Assistant,39520,United states,New York City,5-7 years,2 - 4 years,Master's degree,Man,White
14987,45-54,Engineering or Manufacturing,Quality Engineer,73500,United states,Hillsboro,21 - 30 years,11 - 20 years,College degree,Man,White
14988,25-34,Health care,Chief of Staff,180000,United states,New York,11 - 20 years,1 year or less,College degree,Woman,White
14989,45-54,Government and Public Administration,Communications Manager,81950,United kingdom,"Halifax, NS",21 - 30 years,21 - 30 years,College degree,Woman,White
14990,35-44,Business or Consulting,Associate Consultant,141550,United kingdom,Toronto,5-7 years,1 year or less,"Professional degree (MD, JD, etc.)",Woman,Black or African American
14991,25-34,Law,Articling Student,65560,United kingdom,Toronto,2 - 4 years,1 year or less,"Professional degree (MD, JD, etc.)",Woman,White
14992,25-34,Business or Consulting,Senior experience strategist,73645,United states,Pittsburgh ,2 - 4 years,2 - 4 years,Master's degree,Woman,White
14993,25-34,Government and Public Administration,Team Lead,48425,United kingdom,Montreal,5-7 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,White
14994,35-44,Computing or Tech,Technology Lead,128000,United states,Chicago,11 - 20 years,11 - 20 years,College degree,Man,White
14995,25-34,Health care,Admitting ,44000,United states,New York City,5-7 years,5-7 years,College degree,Woman,White
14996,35-44,Nonprofits,Policy Analyst,64500,United states,Pensacola,5-7 years,5-7 years,Master's degree,Woman,White
14997,25-34,Government and Public Administration,Budget Analyst,75078,United states,St. Paul,2 - 4 years,2 - 4 years,Master's degree,Woman,White
14998,25-34,Health care,Nurse practitioner ,100000,United states,Dayton,2 - 4 years,2 - 4 years,Master's degree,Woman,White
14999,25-34,Health care,Business manager,35110,United kingdom,Liverpool,11 - 20 years,8 - 10 years,College degree,Woman,White
15000,25-34,Education (Higher Education),Office Coordinator,37000,United states,Rochester,8 - 10 years,5-7 years,College degree,Woman,"Asian or Asian American, White"
15001,35-44,Education (Higher Education),Research Librarian,50000,United states,Boston,11 - 20 years,2 - 4 years,Master's degree,Woman,White
15002,35-44,Education (Higher Education),Division Operations Support,43000,United states,Vancouver,21 - 30 years,11 - 20 years,Master's degree,Woman,White
15003,45-54,Computing or Tech,Senior Manager,170000,United states,WFH in San Francisco Bay Area,11 - 20 years,5-7 years,Master's degree,Woman,White
15004,35-44,Law,Associate Attorney,120000,United states,Pittsburgh,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,White
15005,25-34,"Accounting, Banking & Finance",Staff Accountant,62000,United states,New York City,5-7 years,2 - 4 years,College degree,Woman,Asian or Asian American
15006,45-54,Education (Primary/Secondary),Househusband,0,United states,Palo Alto,5-7 years,5-7 years,PhD,Man,White
15007,25-34,Computing or Tech,Security Analyst,55230,United kingdom,Edinburgh,5-7 years,2 - 4 years,College degree,Woman,White
15008,35-44,Retail,Marketing Manager,51852,United kingdom,Vancouver,11 - 20 years,8 - 10 years,College degree,Woman,White
15009,35-44,"Marketing, Advertising & PR",Assistant Brand Manager,70000,United states,Ontario,5-7 years,2 - 4 years,Master's degree,Man,White
15010,25-34,Nonprofits,Registrar,38040,United states,Chicago,5-7 years,2 - 4 years,College degree,Man,"Hispanic, Latino, or Spanish origin"
15011,25-34,Computing or Tech,Senior Support Engineer,92000,United states,Austin,5-7 years,5-7 years,College degree,Man,"Hispanic, Latino, or Spanish origin"
15012,35-44,Computing or Tech,Engineering Manager,235000,United states,San Francisco,11 - 20 years,11 - 20 years,College degree,Man,Asian or Asian American
15013,18-24,Education (Higher Education),PhD student,78480,Switzerland,Zürich ,2 - 4 years,2 - 4 years,Master's degree,Non-binary,White
15014,25-34,Computing or Tech,Producer,39450,United kingdom,Liverpool,11 - 20 years,2 - 4 years,Master's degree,Non-binary,White
15015,18-24,Media & Digital,Reporter,62500,United states,Washington,2 - 4 years,2 - 4 years,College degree,Woman,White
15016,35-44,Law,Senior Staff Attorney ,65000,United states,"Lansing, MI",11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,White
15017,25-34,Nonprofits,Associate Development Officer ,53000,United states,New York City ,5-7 years,2 - 4 years,Master's degree,Woman,White
15018,45-54,Health care,Lead Talent Acquisition Partner,115000,United states,"Seattle, WA",21 - 30 years,21 - 30 years,College degree,Man,White
15019,25-34,Education (Higher Education),Librarian ,43500,United states,El Paso,5-7 years,8 - 10 years,Master's degree,Woman,"Hispanic, Latino, or Spanish origin"
15020,25-34,Business or Consulting,Director,220000,United states,Stafford ,11 - 20 years,8 - 10 years,College degree,Woman,White
15021,18-24,Retail,Grocery store clerk,20299,United kingdom,Montreal,5-7 years,5-7 years,College degree,Woman,White
15022,35-44,Preclinical Research,Manager,82000,United states,Minneapolis,21 - 30 years,11 - 20 years,College degree,Woman,White
